term,label
Salmo salar,atlantic salmon
S. salar,atlantic salmon
atlantic salmon,atlantic salmon
baltic salmon,atlantic salmon
O. mykiss,rainbow trout
Oncorhynchus mykiss,rainbow trout
rainbow trout,rainbow trout
arc-en-ciel,rainbow trout
steelhead,rainbow trout
Salmo gairdneri,rainbow trout
S. gairdneri,rainbow trout
Salmo gairdnerii,rainbow trout
S. gairdnerii,rainbow trout
Parasalmo mykiss,rainbow trout
Onchorhynchus mykiss,rainbow trout
California golden trout,rainbow trout
Salmo irideus,rainbow trout
S. irideus,rainbow trout
redband trout,rainbow trout
coho salmon,coho salmon
Oncorhynchus kisutch,coho salmon
Onchorhynchus kisutch,coho salmon
O. kisutch,coho salmon
chinook salmon,chinook salmon
Oncorhynchus tshawytscha,chinook salmon
Onchorhynchus tshawytscha,chinook salmon
O. tshawytscha,chinook salmon
king salmon,chinook salmon
Oncorhynchus tshaivytscha,chinook salmon
Onchorhynchus tshaivytscha,chinook salmon
Quinnat salmon,chinook salmon
chum salmon,chum salmon
Oncorhynchus keta,chum salmon
Onchorhynchus keta,chum salmon
O. keta,chum salmon
masu salmon,masu salmon
masou salmon,masu salmon
Oncorhynchus masou,masu salmon
Onchorhynchus masou,masu salmon
O. masou,masu salmon
amago,masu salmon
cherry salmon,masu salmon
yamame trout,masu salmon
sockeye salmon,sockeye salmon
Oncorhynchus nerka,sockeye salmon
Onchorhynchus nerka,sockeye salmon
O. nerka,sockeye salmon
kokanee salmon,sockeye salmon
pink salmon,pink salmon
Oncorhynchus gorbuscha,pink salmon
Onchorhynchus gorbuscha,pink salmon
O. gorbuscha,pink salmon