Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword,,Subtopic,Keyword
Sea lice,louse,,Pathogens,Aeromonad septicemia,,Fish health,intestinal microbiota,,Feed,feed,,Genetics,selective breeding,,GMO,recombinant,,Context,cage,,Chemicals,chemical,,Environment,habitat,,Food quality,fillet,,Treatments,antibiotic,,Environmental impacts,sludge,,Economy,econom,,Model,model,,Escapes,escape,,Externalities,bloom,,Reviews,systematic literature survey,,Disease detection,biomarker,,Sea lice treatment,corkwing wrasse,,Action terms,treatment,,Life stage,sperm,,Outcome,survival,,Wild versus farmed,wild,,Hydrodynamics,flow past,,Social outcome,social development,,Legislation,legislat,,Farm management,fish density
,lice,,,Aeromonas caviae,,,body composition,,,diet,,,genetic diversity,,,genetic modification,,,pen,,,*icide,,,environment,,,flesh,,,ozone,,,water quality,,,production,,,simulation,,,accidental release,,,jellyfish,,,this comprehensive review,,,detect,,,cleaner fish,,,treated,,,egg,,,mortality,,,interaction with wild,,,flow through,,,protest,,,legal,,,stocking density
,Lepeophtheirus salmonis,,,Aeromonas salmonicida,,,fish weight,,,pellet,,,genetic variation,,,genetically modified,,,recirculating aquaculture system,,,antibiotic,,,biota,,,flavor,,,membrane biological reactors,,,nitrogen waste,,,productivity,,,,,,accidentally release,,,climate change,,,systematic review,,,monitor,,,hydrolicing,,,monitor,,,hatchery,,,burden,,,impacts on wild,,,hydrodynamic,,,opinion,,,regulat,,,
,Caligus rogercresseyi,,,aeromonosis,,,body weight,,,meal,,,genetic differentiation,,,transgenic,,,recirculation aquaculture system,,,discharge,,,,,,flavour,,,disinfect,,,environmental disturbance,,,profit,,,,,,escaping,,,global warming,,,systematically review,,,,,,thermolicing,,,vaccinat,,,larva,,,death rate,,,effects on wild,,,hydro dynamic,,,social conflict,,,authoris,,,
,,,,amoebic gill disease,,,immune response,,,fish oil,,,breeding strain,,,GMO,,,tank,,,peracetic acid,,,,,,palatable,,,saniti,,,environmental biomonitoring,,,energy use,,,,,,hybrid,,,antibiotic resist,,,systematic map,,,,,,Symphodus melops,,,detect,,,pre-smolt,,,morbidity,,,affect wild,,,drag,,,social unrest,,,authoriz,,,
,,,,bacteri,,,gut health,,,fish-oil,,,digital phenotyping,,,AquaBounty,,,flow-through system,,,erythromycin,,,,,,customer,,,peracetic acid,,,macroinvertebrate,,,energy efficiency,,,,,,genetic mixing,,,dissolved oxygen,,,evidence map,,,,,,emamectin benzoate,,,intervention,,,presmolt,,,health,,,impact wild,,,biofoul,,,dispossess,,,policy,,,
,,,,bacterial cold water disease,,,gut microbiota,,,soy,,,breeding program,,,genetic engineer,,,through-flow system,,,chemotherap,,,,,,protein content,,,vaccin,,,benthic,,,Morishima elasticities of substitution,,,,,,gene flow,,,hypoxia,,,scoping review,,,,,,medicinal bath,,,manipulat,,,pre smolt,,,susceptibility,,,between wild and farmed,,,water blockage,,,controversy,,,policies,,,
,,,,bacterial cold-water disease,,,welfare,,,soya,,,breeding practic,,,genetically engineer,,,flow through system,,,florfenicol,,,,,,taste,,,phage therapy,,,benthos,,,Morishima elasticity of substitution,,,,,,naturalized,,,fouling,,,literature review,,,,,,delousing,,,surveillance,,,smolt,,,behaviour,,,between farmed and wild,,,clean net,,,employment,,,politic,,,
,,,,Candidatus Branchiomonas cysticola,,,cortisol,,,alternative food,,,,,,AquAdvantage,,,through flow system,,,amoxicillin,,,,,,meat,,,foam fractionation,,,environmental impact,,,financ,,,,,,naturalize,,,,,,systematic style literature review,,,,,,cleaner-fish,,,,,,post-smolt,,,behavior,,,farmed versus wild,,,fouled net,,,local econom,,,,,,
,,,,Chryseobacterium,,,stress,,,alternative diet,,,,,,GM salmon,,,land-based,,,doxycycline,,,,,,firmness,,,selective breeding,,,water pollution,,,sustainab,,,,,,naturalised,,,,,,systematic literature review,,,,,,lumpfish,,,,,,postsmolt,,,physiology,,,wild versus farmed,,,clean cage,,,household income,,,,,,
,,,,Citrobacter,,,stressful,,,vegetable oil,,,,,,GM fish,,,water recirculating systems,,,clavulanic acid,,,,,,sensory characteristic,,,antimicrobial,,,anthropogenic impact,,,scaling up,,,,,,naturalise,,,,,,review of the literature,,,,,,lump fish,,,,,,post smolt,,,,,,wild AND farmed,,,fouled cage,,,local infrastructur,,,,,,
,,,,columnaris disease,,,fecal corticoid metabolite,,,plant based,,,,,,gene technology,,,,,,ampicillin,,,,,,fatty acid profile,,,therapeutant,,,impact environment,,,scale up,,,,,,,,,,,,review the literature,,,,,,Cyclopterus lumpus,,,,,,juvenile,,,,,,decline in wild,,,clean pen fouled pen,,,social problem,,,,,,
,,,,Deefgea rivuli,,,foecal corticoid metabolite,,,plant-based,,,,,,,,,,,,organophosphate,,,,,,fatty acid composition,,,pharmacokinetic,,,affect environment,,,yield,,,,,,,,,,,,this review,,,,,,,,,,,,jouvenile,,,,,,loss of wild,,,pen clean,,,social impact,,,,,,
,,,,Desmozoon lepeophtherii,,,FCM,,,soybean,,,,,,,,,,,,dichlorvos,,,,,,vitamin E,,,immunostimulant,,,environmental problem,,,precision aquaculture,,,,,,,,,,,,we review the,,,,,,,,,,,,preadult,,,,,,,,,cage clean,,,social effect,,,,,,
,,,,diplomonad flagellates,,,osteomalacia,,,enteritis,,,,,,,,,,,,azamethiphos,,,,,,antioxidant,,,prebiotic,,,environmental consequenc,,,performance,,,,,,,,,,,,we review evidence,,,,,,,,,,,,pre adult,,,,,,,,,net clean,,,affect social,,,,,,
,,,,disease,,,bone minerali,,,gut health,,,,,,,,,,,,Perosan,,,,,,nutritional value,,,Pediococcus acidilactici,,,ecological consequenc,,,commercializ,,,,,,,,,,,,review the evidence base,,,,,,,,,,,,pre-adult,,,,,,,,,,,,impact social,,,,,,
,,,,epitheliocystis,,,lesion,,,SBM,,,,,,,,,,,,Ovadine,,,,,,fat content,,,erythromycin,,,ecological impact,,,commercialis,,,,,,,,,,,,,,,,,,,,,,,,adult,,,,,,,,,,,,stakeholder,,,,,,
,,,,Flavobacterium,,,body indices,,,faba bean protein,,,,,,,,,,,,,,,,,,moisture content,,,chemotherap,,,ecological effect,,,operating cost,,,,,,,,,,,,,,,,,,,,,,,,processing,,,,,,,,,,,,dispute,,,,,,
,,,,Flavobacterium columnare,,,body index,,,FBP,,,,,,,,,,,,,,,,,,saturated fatty acids,,,florfenicol,,,affect ecolog,,,emergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social consequenc,,,,,,
,,,,Flavobacterium psychrophilum,,,health,,,FOFM,,,,,,,,,,,,,,,,,,heavy metal,,,amoxicillin,,,impact ecolog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistance,,,,,,
,,,,Francisella noatunensis,,,cataract,,,marine protein,,,,,,,,,,,,,,,,,,consumer,,,doxycycline,,,habitat effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resistant to antibiotic,,,,,,
,,,,fry trout mortality syndrome,,,condition,,,vegetable protein,,,,,,,,,,,,,,,,,,human consumption,,,clavulanic acid,,,habitat impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,resistance to antibiotic,,,,,,
,,,,fungal,,,moribund,,,fishmeal,,,,,,,,,,,,,,,,,,omega-3,,,ampicillin,,,habitat degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antibiotic-resistant,,,,,,
,,,,fungi,,,morbidity,,,vegetable based,,,,,,,,,,,,,,,,,,lipid content,,,antifouling,,,environmental degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistant,,,,,,
,,,,fungus,,,mortalit,,,vegetable-based,,,,,,,,,,,,,,,,,,lipid level,,,prophyla,,,ecological degrad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public health,,,,,,
,,,,furunculosis,,,haemorrhage,,,black soldier fly,,,,,,,,,,,,,,,,,,,,,sanitary treatment,,,ecological damag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human health,,,,,,
,,,,gram-negative,,,exophthalmia,,,Hermetia illucens,,,,,,,,,,,,,,,,,,,,,sanitisation,,,environmental damag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human nutrition,,,,,,
,,,,gram-positive,,,hyphaemia,,,cricket,,,,,,,,,,,,,,,,,,,,,sanitization,,,damage environm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human disease,,,,,,
,,,,heart and skeletal muscle inflammation,,,melanosis,,,Gryllodes sigillatus,,,,,,,,,,,,,,,,,,,,,organophosphate,,,degraded environment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoonos,,,,,,
,,,,Hexamita salmonis,,,cardiac lesions,,,superworm,,,,,,,,,,,,,,,,,,,,,dichlorvos,,,biodiversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zoonotic,,,,,,
,,,,HSMI,,,death,,,Zophobas morio,,,,,,,,,,,,,,,,,,,,,azamethiphos,,,species diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,occupational health,,,,,,
,,,,Ich disease,,,immunity,,,insect feed,,,,,,,,,,,,,,,,,,,,,fallow,,,species richness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,human safety,,,,,,
,,,,Ichthyophthirus multifilis,,,epicarditis,,,fermented soybean meal,,,,,,,,,,,,,,,,,,,,,cleaner fish,,,extinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safe for human,,,,,,
,,,,IHN,,,endocarditis,,,FSBM,,,,,,,,,,,,,,,,,,,,,egg ozonation,,,eutrophic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safe for people,,,,,,
,,,,IHNV,,,myocarditis,,,soybean meal,,,,,,,,,,,,,,,,,,,,,,,,pollut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safety of people,,,,,,
,,,,infect,,,myocardial necrosis,,,poultry by-product meal,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,safety of human,,,,,,
,,,,infectious agent,,,myositis,,,hydrolysed feather meal,,,,,,,,,,,,,,,,,,,,,,,,resistant to antibiotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worker,,,,,,
,,,,infectious hematopoietic necrosis,,,necrosis,,,alternative protein,,,,,,,,,,,,,,,,,,,,,,,,resistance to antibiotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,farmer,,,,,,
,,,,Infectious haematopoietic necrosis,,,inflammation,,,replacement feed,,,,,,,,,,,,,,,,,,,,,,,,antibiotic-resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,citizen,,,,,,
,,,,infectious salmon anemia virus,,,ulcer,,,replacement protein,,,,,,,,,,,,,,,,,,,,,,,,antibiotic resistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the public,,,,,,
,,,,infest,,,septicaemi,,,replacement meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Janthinobacterium,,,survivorship,,,fermented canola protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,lactococcosis,,,jaundice,,,canola protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus,,,performance,,,FCPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus,,,growth,,,testes meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Lactococcus garvieae,,,productivity,,,Macrogard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Myxobolus cerebralis,,,survival,,,poultry protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,outbreak,,,health,,,blood meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Paramoeba pemaquidensis,,,maturation,,,yeast extract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,parasit,,,metacercariae,,,beef tallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pathogen,,,,,,algae-based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,patholog,,,,,,algae based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine orthoreovirus,,,,,,astaxanthin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine reovirus,,,,,,carotenoid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscirickettsiosis,,,,,,aquafeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Plesiomonas,,,,,,sunflower oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,poxvirus,,,,,,codliver oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Proliferative kidney disease,,,,,,cod liver oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pseudomonas,,,,,,supplement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,puffy skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,rainbow trout fry syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Renibacterium salmoninarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,salmon gill poxvirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Saprolegnia diclina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Shewanella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,skeletal muscle inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus barkhanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus salmonis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Spironucleus vortens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Streptococcosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Streptococcus iniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tenacibaculum maritimum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Tetracapsula bryosalmonae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,transmission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vagococcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Vibrio anguillarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,viral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Viral hemorrhagic septicemia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virulent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,waterborne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Weissella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,whirling disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,white spot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Yersinia ruckeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,red mark syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,salmonid alphavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,pancreas disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sleeping disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Moritella viscosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,piscine myocarditis virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,jaundice syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Diplostomum pseudospathaceum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,gastric dilation and air sacculitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,gastric dilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,air sacculitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,